Id,Title,Body,AcceptedAnswer,SDLC
3990732,Reviews on these RAD tools,"<p>If anyone has used one of these systems could you give me a feedback on the pros and cons for both? Also are there better tools out there besides these?</p>

<ol>
<li>Alpha Five</li>
<li>Outsystems agile development</li>
<li>Omnis Studio from Tiger Logic</li>
</ol>

<p>Thanks in advance,
Jimmy</p>
",,1__requirement
4432075,Floating exponent exponentiation algorithm,"<p>I must to write a algorithm that exponentiates a base (integer or float) in a integer or float argument. I wrote this algorithm for Deluge (zoho.com), but it can only use integer exponents:</p>

<pre><code>float math.potencia(float base, int expoente)
{  
   if(expoente&gt;0)
    {
    base = base * thisapp.math.potencia(base, (input.expoente  -  1));
    }
    else if (expoente == 0)
    {
    base = 1;
    }
    return base;
}
</code></pre>

<p>(Deluge doesn't have a potentiation operator or function). Thanks!</p>
","<p>Well, more than 17 hours without a reply, finally I've found an answer to my own question:</p>

<p>In the simplest way, we can solve the problem using the value of ""e"" exponentiating to the logarithm of the number divided by the index:</p>

<p>e^(Log(number)/index)</p>

<p>where number is the radicand and index is the desired root.</p>

<p>Eg: The 10th root of the number 1024:
e^(Log(1024)/10) = 2.</p>

<p>PS: the base of the Log function is also ""e"".
the rounded value for ""e"" is: 2.718281828459045</p>

<p>I hope this technique may be usefull for you.</p>
",3__development
4439797,How to implement exponentiation of a rational number without nth root?,"<p>Its available for me only log(base ""e""), sin, tan and sqrt (only square root) functions and the basic arithmetical operators (+ - * / mod). I have also the ""e"" constant.</p>

<p>I'm experimenting several problems with Deluge (zoho.com) for these restrictions. I must implement exponentiation of rational (fraction) bases and exponents.</p>
","<p>Say you want to calculate <code>pow(A, B)</code></p>

<p>Consider the representation of <code>B</code> in base 2:</p>

<pre><code>B = b[n]   * pow(2, n    ) +
    b[n-1] * pow(2, n - 1) +
    ...
    b[2]   * pow(2, 2    ) +
    b[1]   * pow(2, 1    ) +
    b[0]   * pow(2, 0    ) +
    b[-1]  * pow(2, -1   ) +
    b[-2]  * pow(2, -2   ) +
    ...

 = sum(b[i] * pow(2, i))
</code></pre>

<p>where <code>b[x]</code> can be <code>0</code> or <code>1</code> and <code>pow(2, y)</code> is an integer power of two (i.e., <code>1</code>, <code>2</code>, <code>4</code>, <code>1/2</code>, <code>1/4</code>, <code>1/8</code>).</p>

<p>Then,</p>

<pre><code>pow(A, B) = pow(A, sum(b[i] * pow(2, i)) = mul(pow(A, b[i] * pow(2, i)))
</code></pre>

<p>And so <code>pow(A, B)</code> can be calculated using only multiplications and square root operations</p>
",3__development
4556252,Open documents in browser with zoho api,"<p>HI im trying to integrate zoho into my website and open a document in browser
Im using Wamp server.</p>

<p>This the code im trying to work with:</p>

<pre><code> &lt;html&gt;
&lt;head&gt;
&lt;/head&gt;
&lt;body&gt;

&lt;form method=""POST"" action=""http(s)://export.writer.zoho.com/remotedoc.im"" target=""_self"" 

accept-charset=""UTF-8""&gt;
&lt;input type=""hidden"" name=""url"" value=""http://localhost/paper.doc""&gt;
&lt;input type=""hidden"" name=""apikey"" value=""here goes api key""&gt;
&lt;input type=""hidden"" name=""output"" value=""url""&gt;
&lt;input type=""hidden"" name=""mode"" value=""normaledit""&gt;
&lt;input type=""hidden"" name=""filename"" value=""paper.doc""&gt;
&lt;input type=""hidden"" name=""lang"" value=""en""&gt;
&lt;input type=""hidden"" name=""skey"" value=""here goes secret value""&gt;
&lt;input type=""hidden"" name=""id"" value=""12345678""&gt;
&lt;input type=""hidden"" name=""format"" value=""doc""&gt;
&lt;input type=""hidden"" name=""saveurl"" value=""http://localhost/save.php""&gt;
&lt;input type=""submit"" name=""submit"" value=""Open/Edit""&gt;
&lt;/form&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>I dont know i get this error:
Forbidden</p>

<p>You don't have permission to access /http(s)://export.writer.zoho.com/remotedoc.im on this server.</p>

<p>I have entered the api key correctly and the secret key
Im just confused and stuck here.Im blocked</p>

<p>Here is the documentation : <a href=""http://apihelp.wiki.zoho.com/Open-Document.html"" rel=""nofollow"">http://apihelp.wiki.zoho.com/Open-Document.html</a></p>
","<p>You have taken the (s) out of the url right? I know it might seem like a silly question but I thought I should check in case you had overlooked it.  The url resolves for me and gives an 'api key is invalid' warning.</p>

<p>The error given would seem to indicate the browser thinks its a relative instead of absolute url.</p>
",3__development
4598926,Send php form to 2 locations,"<p>What is the best/easiest way to send information from a form to two different locations, basically have 2 actions on one form. I have a few fields that need to be named differently for each action, for example..</p>

<pre><code>&lt;form id=""form"" name=""form"" action='post.php' method='POST' accept-charset='UTF-8'&gt;&lt;input type='hidden' name='xnQsjsdp' value=SlGqwqH3ITc$/&gt;  &lt;input type='hidden' name='xmIwtLD' value=x4LHs39QfKiFkCs1PrsnsG-*B6-MHnNR/&gt;  &lt;input type='hidden' name='actionType' value=TGVhZHM=/&gt; &lt;input type='hidden' name='returnURL' /&gt;
&lt;input name='firstName' type='text' id=""firstName"" style=""float:left; width:45%;"" maxlength='40' /&gt;
&lt;input name='lastName' type='text' id=""lastName"" style=""float:left; width:45%;"" maxlength='40' /&gt;
&lt;input type=""submit"" /&gt;
&lt;/form&gt;
</code></pre>

<p>post.php look like this.</p>

<pre><code>&lt;?php

    if ($_SERVER['REQUEST_METHOD'] == ""POST"") {

      $hidden1      = $_POST[""xnQsjsdp""];
      $hidden2      = $_POST[""xmIwtLD""];
      $hidden3      = $_POST[""actionType""];
      $hidden4      = $_POST[""returnURL""];
      $firstName    = $_POST[""firstName""];
      $lastName     = $_POST[""lastName""];
      $street       = $_POST[""Street""];
      $city         = $_POST[""City""];
      $State        = $_POST[""State""];
      $zipCode      = $_POST[""Zip""];
      $email        = $_POST[""Email""];
      $phone        = $_POST[""Phone""];
      $LEADCF7      = $_POST[""LEADCF7""];
      $zohoPrams    = ""xnQsjsdp=$hidden1&amp;xmIwtLD=$hidden2&amp;actionType=$hidden3&amp;returnURL=$hidden4&amp;First Name=$firstName&amp;Last Name=$lastName"";
      $maxPrams     = ""FName=$firstName&amp;LName=$lastName"";

    };

?&gt;
</code></pre>



<pre><code>&lt;script&gt;
$(function() { // setup an onReady (similar to onLoad) handler
        $.post(""https://crm.zoho.com/crm/WebToLeadForm"", &lt;?php echo $zohoPrams; ?&gt;; // post to first address
        $.post(""http://www.max360group.com/"", &lt;?php echo $maxPrams; ?&gt;; // post to second address
});
&lt;/script&gt;
</code></pre>

<p>as you can see i tried using ajax.. but i guess i'm doing something wrong, if you have any suggestions to do this any other way that would be great :] Thank you!</p>
","<p>You could do it server side with cURL in post.php.</p>

<p>So, you have your variables set and they've been validated and cleaned, then:</p>

<pre><code>$zoho = curl_init(""https://crm.zoho.com/crm/WebToLeadForm"");
curl_setopt($zoho, CURLOPT_SSL_VERIFYPEER, false); //Note, not very secure.  Would have to get certificate otherwise.  Look up how to.
curl_setopt($zoho, CURLOPT_FOLLOWLOCATION, 1); //Makes sure that it follows any redirects
curl_setopt($zoho, CURLOPT_RETURNTRANSFER, 1); //Returns the result instead of outputting it to the browser
curl_setopt($zoho, CURLOPT_USERAGENT, ""Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)""); //Will make the end server think it was submitted with Firefox, and not by a server using cURL.
curl_setopt($zoho, CURLOPT_POST, 1);
curl_setopt($zoho, CURLOPT_POSTFIELDS, $zohoprams);  
//If you want the rest of the $_POST data and not just what you set above in $zohoprams, 
//CURLOPT_POSTFIELDS takes either an array, which will automatically do the appropriate thing with it as a $key=$value, or a string like you have formatted for $zohoprams
curl_exec($zoho);
curl_close($zoho);

$max = curl_init('http://www.max360group.com/');
curl_setopt($max, CURLOPT_POST, 1);
curl_setopt($max, CURLOPT_POSTFIELDS, $maxprams);
curl_setopt($max, CURLOPT_FOLLOWLOCATION, 1);
curl_setopt($max, CURLOPT_RETURNTRANSFER, 1);
curl_setopt($max, CURLOPT_USERAGENT, ""Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)""); 
curl_exec($max);
curl_close($max);
</code></pre>

<p>Might need to be changed a bit to do exactly what you want, and probably would need to forge the headers like it's a browser doing it, but that is the basic functionality of it.  Might also need to set CURLOPT_RETURNTRANSFER to true.</p>
",3__development
4804623,Moodle - Zoho CRM Integration,"<p>Anybody had any experience or know of a way of integrating Moodle with Zoho CRM? Can't find a plug-in. Would like to be able to sync the two of them. Any pointers?</p>
",,3__development
5552901,Link between zoho crm and Moodle,"<p>I want to know if i take a website to lead form from zoho crm and integrate it into my moodle website and someone registers to my site with that form. Can the information be sent to both my moodle database and my zoho crm account. If so can someone explain to me how to do it.. Please please please</p>
",,3__development
7048854,How to retrieve FeedComment using Chatter SalesForce WSDL service in C#,"<p>I have to retrieve News feed of salesforce chatter I am able to get main status but not able to retrieve comments. Is there any sample to get comments using SalesForce chatter WSDL API in c#? </p>
","<p>You can use child relationship queries to traverse from the NewsFeed to the child FeedComments. Here's an example of a SOQL query that returns both the main status and comments for a given user:</p>

<pre><code>SELECT Id, Body, (Select Id, CommentBody FROM FeedComments) FROM NewsFeed WHERE ParentId = '00560000000wX0aAAE'
</code></pre>

<p>Not sure about C# specifically, but it will likely return the FeedComments as a nested array. Here's an example of iterating over the results in Apex:</p>

<pre><code>NewsFeed nf = [SELECT Id, Body, (Select Id, CommentBody FROM FeedComments) FROM NewsFeed WHERE ParentId = '00560000000wX0aAAE'];

System.debug(nf.Id);
System.debug(nf.Body);
for (FeedComment fc : nf.FeedComments) {
   System.debug(fc.Id);
   System.debug(fc.CommentBody);
}
</code></pre>
",3__development
7304006,File Upload using Chatter REST API,"<p>I read documentation of Salesforce Chatter REST API and started to implement code in c#.
See following code:</p>

<pre><code>System.Net.WebRequest req = System.Net.WebRequest.Create(URI);
        req.Method = ""POST"";
        req.Headers.Add(""Authorization: OAuth "" + accessToken);
        req.ContentType = ""application/x-www-form-urlencoded"";
        string par = 
               ""fileName="" + fileName +
            ""&amp;feedItemFileUpload=""                
           + @""D:\\MyFiles\\NewTextDocument.txt"" +                  
                     ""&amp;desc="" + desc+
                     ""&amp;text="" + text;

        byte[] byteArray = Encoding.UTF8.GetBytes(par);
        req.ContentLength = byteArray.Length;
        Stream dataStream = req.GetRequestStream();
        dataStream.Write(byteArray, 0, byteArray.Length);
        dataStream.Close();

        System.Net.WebResponse resp = req.GetResponse();
</code></pre>

<p>I am gettig error on response
<strong>The remote server returned an error: (400) Bad Request.</strong></p>

<p>If i see response of error, i got following message:</p>

<p><strong>Please specify a file to upload. Type in the path to the file, or use the \""Browse\"" button to locate it in your local filesystem.</strong></p>

<p>I have already defined the file path and name. I tried with and without @ sign before path string but getting same error.  Let me know if anything is missing.</p>
","<p>You can easily use Fiddler to see what's going on.</p>

<p>You are posting a simple form where <code>fileName</code> and <code>feedItemFileUpload</code> are just like <code>desc</code> and <code>text</code>, in other words, <strong>plain simple text</strong>!</p>

<p>What you need to do is send the file as a stream.</p>

<p>I can see that you're using <a href=""http://www.hanselman.com/blog/HTTPPOSTsAndHTTPGETsWithWebClientAndCAndFakingAPostBack.aspx"" rel=""nofollow noreferrer"">Hanselman's</a> code, but that's only for text parameters</p>

<p>for more information on using it for files, see this answer </p>

<blockquote>
  <p><a href=""https://stackoverflow.com/questions/566462/upload-files-with-httpwebrequest-multipart-form-data/567460#567460"">Upload files with HTTPWebrequest (multipart/form-data)</a></p>
</blockquote>
",3__development
7383641,How to post a new thread and new comments to a current thread in iOS to Salesforce's Chatter feed,"<p>Basically I am trying accomplish 2 goals:
(1) Start a new Chatter Thread, and
(2) Comment on an existing Chatter Thread that has been loaded.</p>

<p>I am using OAuth to get connected and am able to successfully view and update custom objects but can't seem to figure out how to access and create a new chatter thread using the same [switchboard create:] method.</p>

<p>Does anyone have any idea where to start? I have tried their documentation and the best I could find was Asynchronous HTTPS posts with a body and a parent ID but how can I accomplish the same thing using the provided switchboard interface in the iOS client?</p>

<p>Any help appreciated,
Thanks,
~Arash</p>
",,3__development
7679733,How could I 'attach' an ASP.NET byte array to a 'file' type input field on a form?,"<p>In my ASP.NET application, I want to make a POST request out to a third-party, document editing service (<a href=""https://apihelp.wiki.zoho.com/Open-Document.html"" rel=""nofollow"">Zoho</a>). I understand how to make this request with a front-end form, and how to make one in my VB.NET code-behind. However, since I the file I'm sending is stored in my database as a byte array and the POST results (an editor page on the Zoho website) must be displayed in a special 'target' (new window or an iframe), it looks like I need some weird combination of both. </p>

<p>Basically, I want to attach the content of this byte array</p>

<pre><code>Dim fileContents() As Byte = Files.get(fileId)
</code></pre>

<p>to the file input field in this form</p>

<pre><code>&lt;form id=""theForm"" action=""http://zohoservice"" method=""POST"" target=""_blank"" &gt;
    ...
    &lt;input type=""file"" name=""fileContents"" /&gt;
&lt;/form&gt;
</code></pre>

<p>and then submit it via javascript like this</p>

<pre><code>theForm.submit();
</code></pre>

<p>I hope I'm not asking for the impossible. Thanks for your help!</p>
","<p>You actually can't do what you're suggesting.  When using an <code>&lt;input type=""file"" .../&gt;</code> the uploaded file is never loaded into the HTML.  Instead it's included as part of the POST request.  So what you want to actually do is craft a complete POST request, and submit that post to your action (http://zohoservice).</p>

<p>This is doable, but it's going to be a bit of work on your end, and you'll need to understand how to create a MIME multipart POST request.  And if there are any anti-botting technologies or view state tracking (kinds of things) then you'll run into some trouble there.</p>
",3__development
7699717,Salesforce Oauth 2.0 Authorization screen,"<p>Using <a href=""http://wiki.developerforce.com/index.php/Digging_Deeper_into_OAuth_2.0_on_Force.com"" rel=""nofollow"">this guide</a> as a reference, I've created a Remote Access application entry in my developer account.
I tried to play around with the Authorization screen that the user should see after navigating to this URL:</p>

<p>https://login.salesforce.com/services/oauth2/authorize?response_type=code&amp;client_id=[your_client_id]&amp;redirect_uri=[your_redirect_uri]</p>

<p>When I fill in the right values and navigate to the URL, I am not taken to <a href=""http://wiki.developerforce.com/index.php/File%3aOAuthApproval.png"" rel=""nofollow"">the screen that I expect to see</a>, but rather the regular Salesforce login screen.  If I enter credentials &amp; log in, I get redirected to the 'redirect uri' that I set on the Remote Access screen. (i'm using google.com for now).  What am I getting wrong?</p>
","<p>The approval screen should appear once the user has logged in, is that not what you see ?</p>
",3__development
7839597,Can I mention a group of users on a Salesforce Chatter post?,"<p>The case I'm trying to solve is the following: I'm working with Service Cloud Enterprise. I'm a support agent and I'm assigned a new case. Cases are public read/write by OWD, and I want all members of a group of users to take a look at the case in case they can help me out.</p>

<p>The group could be implemented as a queue a public group, or a chatter group, or some other kind of group. The thing is I don't know who the members of that group are (or at least I shouldn't need to know. I just want anyone on the group to get the message).</p>

<p>I want to be able to make a chatter post for that case and mention the group of users, so that they get this post on their feed and they can go check the case and comment on it to help me out.</p>

<p>Is there a way to do this?</p>
","<p>You can't @mention a group. I'd think the best approach would be to post to the group about the case (and perhaps include a link to the case)</p>
",3__development
